Name,Platform,Genre
Rugrats in Paris: The Movie,PS,Action
Spyro 2: Ripto's Rage!,PS,Platform
Left 4 Dead,X360,Shooter
Mario & Sonic at the Olympic Winter Games,DS,Sports
Resident Evil 5,X360,Action
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform
Assassin's Creed: Brotherhood,X360,Action
Kung Fu,NES,Action
Batman: Arkham Asylum,X360,Action
Clubhouse Games,DS,Misc
FIFA Soccer 2004,PS2,Sports
Star Wars Battlefront (2015),XOne,Shooter
Battlefield: Bad Company 2,X360,Shooter
Guitar Hero: On Tour,DS,Misc
Assassin's Creed: Unity,XOne,Action
Far Cry 3,PS3,Shooter
Monster Hunter 4,3DS,Role-Playing
Borderlands,X360,Shooter
Tekken 4,PS2,Fighting
Battlefield 4,PS4,Shooter
LittleBigPlanet 2,PS3,Platform
Grand Theft Auto 2,PS,Action
Final Fantasy III,SNES,Role-Playing
Spider-Man 2,PS2,Action
F-1 Race,GB,Racing
FIFA Soccer 2003,PS2,Sports
Crash Bash,PS,Misc
LEGO Batman: The Videogame,X360,Action
Metal Gear Solid V: The Phantom Pain,PS4,Action
The Legend of Zelda: Spirit Tracks,DS,Action
WWF War Zone,PS,Fighting
The Legend of Zelda: Majora's Mask,N64,Action
Professor Layton and the Unwound Future,DS,Puzzle
Rugrats: Search For Reptar,PS,Adventure
Assassin's Creed IV: Black Flag,X360,Action
English Training: Have Fun Improving Your Skills!,DS,Misc
James Bond 007: Nightfire,PS2,Shooter
Ratchet & Clank,PS2,Platform
Mario Party 9,Wii,Misc
Star Wars Episode III: Revenge of the Sith,PS2,Action
Max Payne,PS2,Shooter
The Lord of the Rings: The Return of the King,PS2,Action
Assassin's Creed Syndicate,PS4,Action
Destiny,XOne,Shooter
True Crime: Streets of LA,PS2,Action
Wii Music,Wii,Misc
Gran Turismo (PSP),PSP,Racing
Monster Hunter X,3DS,Action
Tekken,PS,Fighting
FIFA 16,XOne,Sports
L.A. Noire,PS3,Adventure
Madden NFL 16,PS4,Sports
Yokai Watch 2 Ganso/Honke,3DS,Role-Playing
007: Tomorrow Never Dies,PS,Shooter
Baseball,NES,Sports
Killer Instinct,SNES,Fighting
WWF SmackDown! 2: Know Your Role,PS,Fighting
Crisis Core: Final Fantasy VII,PSP,Role-Playing
God of War: Chains of Olympus,PSP,Action
Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing
Dance Central,X360,Misc
Enter the Matrix,PS2,Action
Super Mario Maker,WiiU,Platform
Fallout: New Vegas,PS3,Role-Playing
LEGO Batman: The Videogame,Wii,Action
Rhythm Heaven,DS,Misc
Ace Combat 04: Shattered Skies,PS2,Simulation
Club Penguin: Elite Penguin Force,DS,Adventure
Animal Crossing,GC,Simulation
LEGO Batman: The Videogame,DS,Action
Sonic Rush,DS,Platform
Resident Evil 6,PS3,Shooter
Halo: The Master Chief Collection,XOne,Shooter
FIFA Soccer 08,PS2,Sports
Spider-Man,PS,Action
Need for Speed III: Hot Pursuit,PS,Racing
Star Wars Episode I Racer,N64,Racing
Personal Trainer: Cooking,DS,Misc
The Elder Scrolls IV: Oblivion,PS3,Role-Playing
Dragon Warrior IV,NES,Role-Playing
Heavy Rain,PS3,Adventure
Mass Effect 2,X360,Role-Playing
FIFA 15,X360,Sports
Dragon Ball Z: Budokai,PS2,Fighting
Madden NFL 2002,PS2,Sports
World Class Track Meet,NES,Sports
Borderlands 2,X360,Shooter
The Legend of Zelda: A Link Between Worlds,3DS,Action
Donkey Kong,GB,Platform
The Sims: Vacation,PC,Simulation
Mass Effect 3,X360,Role-Playing
Kung Fu Panda,X360,Action
Far Cry 3,X360,Shooter
Epic Mickey,Wii,Platform
Saints Row 2,X360,Action
Rayman,PS,Platform
Killzone 2,PS3,Shooter
Tom Clancy's Splinter Cell,XB,Action
Mike Tyson's Punch-Out!!,NES,Fighting
WWE SmackDown! Shut Your Mouth,PS2,Sports
Gears of War: Ultimate Edition,XOne,Shooter
NBA 2K13,X360,Sports
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting
wwe Smackdown vs. Raw 2006,PS2,Fighting
Middle-Earth: Shadow of Mordor,PS4,Action
Star Fox,SNES,Shooter
The Sims: Livin Large,PC,Misc
World Soccer Winning Eleven 6 International,PS2,Sports
Devil May Cry,PS2,Action
Animal Crossing: Happy Home Designer,3DS,Simulation
Battlefield: Bad Company 2,PS3,Shooter
The Sims 4,PC,Simulation
Star Wars: The Old Republic,PC,Role-Playing
Sonic Heroes,PS2,Platform
Kirby Super Star Ultra,DS,Platform
Hitman 2: Silent Assassin,PS2,Action
Street Fighter IV,X360,Fighting
Wave Race 64,N64,Racing
